file,condition,filter,rows_skipped,elapsed
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-40000',without_bloom_filter,10000000,0.07085691
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-30000',with_bloom_filter,0,0.002660394
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-30000',without_bloom_filter,10000000,0.072197444
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-20000',with_bloom_filter,0,0.002926907
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-20000',without_bloom_filter,10000000,0.068378033
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-10000',with_bloom_filter,0,0.002721925
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-10000',without_bloom_filter,10000000,0.06848552
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-00000',with_bloom_filter,0,0.002563385
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-00000',without_bloom_filter,10000000,0.069376415
lots_of_row_groups_large.parquet,WHERE t2 = 'third-99999',with_bloom_filter,0,0.124932778
lots_of_row_groups_large.parquet,WHERE t2 = 'third-99999',without_bloom_filter,90000000,1.623966522
lots_of_row_groups_large.parquet,WHERE t2 = 'third-90000',with_bloom_filter,0,0.115464955
lots_of_row_groups_large.parquet,WHERE t2 = 'third-90000',without_bloom_filter,90000000,1.637005123
lots_of_row_groups_large.parquet,WHERE t2 = 'third-80000',with_bloom_filter,0,0.1152995
lots_of_row_groups_large.parquet,WHERE t2 = 'third-80000',without_bloom_filter,90000000,1.638502728
lots_of_row_groups_large.parquet,WHERE t2 = 'third-70000',with_bloom_filter,0,0.116442522
lots_of_row_groups_large.parquet,WHERE t2 = 'third-70000',without_bloom_filter,90000000,1.629627578
lots_of_row_groups_large.parquet,WHERE t2 = 'third-60000',with_bloom_filter,0,0.11472289
lots_of_row_groups_large.parquet,WHERE t2 = 'third-60000',without_bloom_filter,90000000,1.657134497
lots_of_row_groups_large.parquet,WHERE t2 = 'third-50000',with_bloom_filter,0,0.116301233
lots_of_row_groups_large.parquet,WHERE t2 = 'third-50000',without_bloom_filter,90000000,1.656313301
lots_of_row_groups_large.parquet,WHERE t2 = 'third-40000',with_bloom_filter,900000,0.133057414
lots_of_row_groups_large.parquet,WHERE t2 = 'third-40000',without_bloom_filter,90000000,1.654823379
lots_of_row_groups_large.parquet,WHERE t2 = 'third-30000',with_bloom_filter,0,0.118977621
lots_of_row_groups_large.parquet,WHERE t2 = 'third-30000',without_bloom_filter,90000000,1.727466409
lots_of_row_groups_large.parquet,WHERE t2 = 'third-20000',with_bloom_filter,0,0.114325702
lots_of_row_groups_large.parquet,WHERE t2 = 'third-20000',without_bloom_filter,90000000,1.679395706
lots_of_row_groups_large.parquet,WHERE t2 = 'third-10000',with_bloom_filter,0,0.116275951
lots_of_row_groups_large.parquet,WHERE t2 = 'third-10000',without_bloom_filter,90000000,1.638954602
lots_of_row_groups_large.parquet,WHERE t2 = 'third-00000',with_bloom_filter,0,0.114893583
lots_of_row_groups_large.parquet,WHERE t2 = 'third-00000',without_bloom_filter,90000000,1.650169156
lots_of_row_groups_small.parquet,WHERE t2 = 'third-99999',with_bloom_filter,0,0.126462512
lots_of_row_groups_small.parquet,WHERE t2 = 'third-99999',without_bloom_filter,9000,0.016997622
lots_of_row_groups_small.parquet,WHERE t2 = 'third-90000',with_bloom_filter,0,0.119271235
lots_of_row_groups_small.parquet,WHERE t2 = 'third-90000',without_bloom_filter,9000,0.017298916
lots_of_row_groups_small.parquet,WHERE t2 = 'third-80000',with_bloom_filter,0,0.117700015
lots_of_row_groups_small.parquet,WHERE t2 = 'third-80000',without_bloom_filter,9000,0.016048687
lots_of_row_groups_small.parquet,WHERE t2 = 'third-70000',with_bloom_filter,0,0.115923113
lots_of_row_groups_small.parquet,WHERE t2 = 'third-70000',without_bloom_filter,9000,0.017419881
lots_of_row_groups_small.parquet,WHERE t2 = 'third-60000',with_bloom_filter,0,0.116364719
lots_of_row_groups_small.parquet,WHERE t2 = 'third-60000',without_bloom_filter,9000,0.018110891
lots_of_row_groups_small.parquet,WHERE t2 = 'third-50000',with_bloom_filter,0,0.116721329
lots_of_row_groups_small.parquet,WHERE t2 = 'third-50000',without_bloom_filter,9000,0.015578027
lots_of_row_groups_small.parquet,WHERE t2 = 'third-40000',with_bloom_filter,0,0.116630046
lots_of_row_groups_small.parquet,WHERE t2 = 'third-40000',without_bloom_filter,9000,0.016582974
lots_of_row_groups_small.parquet,WHERE t2 = 'third-30000',with_bloom_filter,0,0.116879171
lots_of_row_groups_small.parquet,WHERE t2 = 'third-30000',without_bloom_filter,9000,0.018772358
lots_of_row_groups_small.parquet,WHERE t2 = 'third-20000',with_bloom_filter,0,0.118440682
lots_of_row_groups_small.parquet,WHERE t2 = 'third-20000',without_bloom_filter,9000,0.017681646
lots_of_row_groups_small.parquet,WHERE t2 = 'third-10000',with_bloom_filter,0,0.114550383
lots_of_row_groups_small.parquet,WHERE t2 = 'third-10000',without_bloom_filter,9000,0.017307717
lots_of_row_groups_small.parquet,WHERE t2 = 'third-00000',with_bloom_filter,0,0.11726232
lots_of_row_groups_small.parquet,WHERE t2 = 'third-00000',without_bloom_filter,9000,0.015965437
